strategy,n_trades,pnl_usd,pnl_pct
pos_sma,1,27.65852000000001,15.086554548101267
pos_macd,0,0.0,0.0
pos_rsi,1,-0.9300399999999911,-0.19980019980019567
pos_bb,1,-5.905009999999976,-2.4544799261831747
