simulation_id,final_value
1,5467253.385266394
2,6311937.964227205
3,7944081.175501656
4,5839431.171247542
5,1481945.9851697967
6,4936856.676285614
7,8149974.711945577
8,4595994.462570276
9,3326992.717363282
10,1778194.8930924106
11,1487914.3959464356
12,1335756.783269656
13,2065812.7377221102
14,3074564.6337429876
15,433799.05098453915
16,1349138.8080948545
17,2354204.0423789932
18,1655119.2027885441
19,3646656.7065400216
20,1247811.1914441665
21,2532966.2257089596
22,1816626.2364197467
23,6416078.292569051
24,2822600.481944476
25,1000802.0935381749
26,9069860.066229297
27,1224103.2116865413
28,3085815.2086974415
29,2349440.6504696975
30,2664846.9563844227
31,2443890.8268950465
32,4364506.298592373
33,9149328.947181692
34,2336857.1299765147
35,2102705.5475166054
36,2960976.7010552557
37,2136399.635849073
38,1924275.0937854182
39,7975825.504822269
40,1704877.729396718
41,2114246.0493865423
42,4048928.8591398727
43,2903578.6466876
44,985714.2298081961
45,1943650.3515746968
46,6362863.434149788
47,4310156.017382848
48,4337042.268706695
49,1750603.1241298073
50,3246194.95503717
51,2533761.6564405756
52,3556129.4732913836
53,2593543.233416877
54,2096898.6237928392
55,3869265.58734246
56,4658836.745414559
57,3889582.6567763565
58,1856962.8739881122
59,3363096.213780513
60,3260039.1770611573
61,1116766.6088426139
62,5677314.364190166
63,10419028.978017092
64,2037082.1359504182
65,3801986.7792641637
66,1603233.1064583422
67,3285689.728838893
68,5534070.083582237
69,1590542.2842938756
70,2011266.7445604044
71,6280461.844852298
72,1370263.3867320395
73,2181134.1855102493
74,2783864.727859216
75,3527224.361718789
76,3297607.143478673
77,1436787.7885245332
78,1761995.3659216128
79,6346865.929091103
80,2944150.207154404
81,2067441.0816707802
82,2361549.793083957
83,1462827.911078913
84,7165408.456189404
85,2102869.2756258976
86,4258836.492219462
87,7673673.843152781
88,3273207.4589291825
89,7023046.595388159
90,1832916.643033826
91,3750250.032704802
92,3084874.6830819678
93,1036014.7347728199
94,6689568.093291169
95,3700373.4009795752
96,6221442.943768953
97,2708548.6492286245
98,1861555.8470027545
99,1406778.3244519224
100,2977986.02986557
101,2984704.416547642
102,2051558.5428499908
103,2176274.666854428
104,1368989.5584149398
105,4565741.135921895
106,4702690.337334174
107,4121259.2389587155
108,2338448.2482298193
109,3173041.9342790176
110,7350534.280848184
111,11844264.824199082
112,2432921.142047151
113,3146705.419898139
114,3562596.361056114
115,2928366.4056937546
116,4593332.272701895
117,2336578.1539616627
118,2665490.06064051
119,1470642.6803279363
120,3858508.6130891596
121,1669845.9729132007
122,2105716.911440678
123,781387.2268931312
124,3414399.6067115692
125,2394694.02657614
126,3919100.549156464
127,2174824.2260022084
128,4618936.654351124
129,2738051.061671628
130,6585672.699998316
131,1778845.0558052394
132,5544014.010889402
133,3645875.9880607906
134,2891924.774438365
135,1062895.5803055563
136,2856919.074830679
137,1745063.5756199576
138,1509689.5091009764
139,7722252.678418262
140,2787761.229845953
141,2174603.454702155
142,2852954.981640718
143,1373102.6509316484
144,4187123.1644311817
145,544763.5886410446
146,2660181.7617709106
147,1081315.2143452067
148,7616681.339331282
149,5677555.279400197
150,1253984.989312374
151,1562673.2028277216
152,2000034.4204321255
153,4776317.618217714
154,11902075.681454062
155,2136012.5201989133
156,7415567.247509693
157,3336040.7621849957
158,1722095.2307787896
159,2636928.1741640638
160,11389229.79049787
161,3453828.4975742437
162,4074925.0521043283
163,1247758.0751807052
164,1399924.4533513333
165,3760880.481907259
166,2270700.374388392
167,6762257.215281694
168,3827059.835448931
169,12595859.886996297
170,2937954.795626167
171,3223847.820532391
172,3666541.7671646494
173,2373175.723029243
174,1841342.5074958915
175,8105009.463680684
176,7031313.420175347
177,1618723.498306155
178,2742730.830543674
179,3282272.595213526
180,1927616.2991274528
181,1529598.2852673363
182,1071300.7246463518
183,5241450.400063025
184,4976978.861046955
185,1386460.456894286
186,2005210.833520341
